state,participant,segment,duration_s,eda_mean,eda_std,eda_min,eda_max,eda_range,hr_mean,hr_std,hr_min,hr_max,hr_range,acc_mean,acc_std,bvp_mean,bvp_std,temp_mean,temp_std,ibi_mean,ibi_std,ibi_rmssd
STRESS,S06,3,334.0,3.486423941616767,0.33801162117773653,2.985555,4.650983,1.665428,88.23823353293413,6.414666357994353,80.05,102.38,22.33,63.56707369176747,0.5694462827583926,-0.03191523203592814,52.14234455467297,33.781377245508985,0.02076143845075556,0.7,0.06000536128008014,0.03966851086259789
STRESS,S06,4,140.0,4.965608901785713,0.39909364911310424,4.060325,6.145951,2.0856260000000004,97.57807142857143,4.51338151602362,87.47,102.12,14.650000000000006,64.3094059098916,0.20109001788537714,-0.050591517857142825,22.277923598284456,33.735142857142854,0.030201365018482754,0.6010584677419355,0.027551330250879816,0.023987081264038097
STRESS,S06,5,305.0,4.394893241803279,0.649920365454325,3.285368,6.186951,2.9015829999999996,84.6609180327869,5.432681957889351,76.88,99.2,22.320000000000007,63.32215631961327,0.5316294274306318,-0.022930327868852355,54.43705336982713,33.62491803278688,0.022178334637153938,0.7239001396648045,0.06266947466788031,0.04016184777688811
STRESS,S06,6,32.0,5.012941328125,0.25715820249620625,4.512172,5.710943,1.1987710000000007,85.4471875,1.4155326611716696,83.98,88.65,4.670000000000002,62.718169153006215,0.4025652938735022,0.10411621093749973,62.44856782300694,33.64781249999999,0.010226917607468949,0.59375,0.0,
STRESS,S06,7,33.0,6.4547438409090905,0.5140958264348582,5.12333,7.431462,2.3081319999999996,90.76696969696971,0.836002337420557,88.9,92.42,3.519999999999996,63.15125206504085,0.527065048567807,0.06129734848484856,46.939358065779864,33.619393939393944,0.016318681233740685,0.6644021739130435,0.022977628431097505,0.020263270763760093
STRESS,S06,10,34.0,7.511413433823529,0.4368437686699954,6.848279,8.716486,1.868207,89.27058823529411,0.4173934607035211,88.73,90.03,1.2999999999999972,63.01516821351614,0.12395928457180065,-0.7038281249999999,48.69182807922251,33.660588235294114,0.010830560376189485,0.5944293478260869,0.03208075802477607,0.019901013723482082
STRESS,S07,0,163.0,0.21372766871165647,0.009528174628231592,0.192188,0.242157,0.04996900000000001,72.86073619631901,2.0370797570401087,69.1,77.53,8.430000000000007,62.340708480445976,0.10614628751867851,-0.06120782208588958,33.892189365101174,30.364233128834353,0.09382725090777042,0.8082386363636364,0.07831449523364073,0.0771728955648235
STRESS,S07,1,111.0,0.236215240990991,0.0066932131356554556,0.170407,0.263938,0.093531,87.39648648648651,4.664247503332119,77.8,92.65,14.850000000000009,62.58118184159602,0.09140964317623797,-0.01988879504504502,22.033976113083522,30.481531531531537,0.015079261948042034,0.6784131205673759,0.04574040694889707,0.03647692978102735
STRESS,S07,2,103.0,0.2459417378640777,0.006104405589505639,0.161438,0.279313,0.11787499999999998,90.09631067961166,2.040081375823777,86.72,93.75,7.030000000000001,63.142426616221705,0.11659090211122108,0.03623634708737859,18.50391615400785,30.47873786407767,0.015180442940343524,0.6597450657894737,0.05066875724596899,0.04141853198348134
STRESS,S07,3,272.0,0.25720826746323533,0.007040840029363571,0.203719,0.325438,0.121719,71.6154411764706,7.655370074779789,60.42,86.5,26.08,62.57139154434164,0.18379645626980132,-0.006105238970588319,33.50917222190362,30.480147058823537,0.03404117952001987,0.796155427631579,0.13025225320425068,0.08194312417869826
STRESS,S07,4,129.0,0.2721795813953488,0.005054547044470961,0.211407,0.297251,0.08584399999999998,88.91217054263568,5.417984974159446,79.18,96.55,17.36999999999999,62.280689139753164,0.10157105120334511,-0.03086119186046513,17.791393390521016,30.50937984496124,0.022125503120790216,0.6756859756097561,0.08102693404739782,0.034463772712824504
STRESS,S07,5,285.0,0.28024396228070175,0.009094287378955727,0.189626,0.33697,0.147344,66.86280701754386,7.77520552092241,54.22,80.7,26.480000000000004,62.15858289672658,0.15757613937878917,0.03035197368421052,34.42191822604841,30.398140350877192,0.048540610090387654,0.865,0.16102879691999192,0.10501548106172852
STRESS,S07,6,32.0,0.29804159375000006,0.0069960467279268435,0.293407,0.356189,0.062782,81.871875,2.106162739290343,77.67,84.83,7.159999999999997,62.18126711395706,0.0654048937945665,-0.31379882812499993,30.225966319762815,30.409375000000004,0.014563975247163494,0.6135416666666667,0.04755296754380553,0.03468810327660726
STRESS,S07,7,38.0,0.3039774671052631,0.010429922470896797,0.216532,0.393345,0.176813,83.8707894736842,1.053039164511206,81.2,85.02,3.819999999999993,62.22882668958103,0.22213757734340095,0.2238075657894736,17.46045843543259,30.42,0.018209309360006132,0.7336482558139535,0.08143102934731002,0.0632396707168922
STRESS,S07,8,32.0,0.30038396093749997,0.013715456427195072,0.247282,0.407439,0.160157,78.95093750000001,1.1327934481156536,77.7,80.97,3.269999999999996,63.049794189891486,0.5622816644755074,-0.08834960937499978,99.58761066890324,30.430000000000003,0.01936491673103667,0.678125,0.055551215108222425,0.07890238233095373
STRESS,S07,9,47.0,0.303268664893617,0.014333275068556217,0.190907,0.454845,0.263938,73.86659574468084,2.9469185323957694,70.25,78.33,8.079999999999998,63.31369108397289,0.31544024291356687,-0.04360704787234052,20.026974433862396,30.34659574468085,0.030685542769907096,0.8349184782608695,0.11123477917796784,0.09141262361228791
STRESS,S07,10,31.0,0.3130701612903226,0.005692893613953442,0.260095,0.333126,0.07303099999999996,75.13096774193548,3.6671817031776186,70.47,82.78,12.310000000000002,62.764463338397356,0.07927253404049248,0.12766633064516136,16.042561578612812,30.298387096774192,0.014164192516193342,0.6120426829268293,0.0439106424415673,0.019918044974971814
